	Num	Sequence	Age	Class
6410	6411	00010000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000100 00000000000001000000 00000000000000000010 00000000001000000000 00000000000000000100 00000000000000000100 01000000000000000000 00000000000000000010 00000000001000000000 00000000000000100000 00000000010000000000 00000000010000000000 00000000000001000000	28	0 0 0 0 0 0 1 0
6411	6412	00000000010000000000 00000000010000000000 00000000010000000000 00000000000000000001 00000000100000000000 00000000000001000000 00000000100000000000 00000000000000000100 01000000000000000000 00000000000001000000 00000000000001000000 00100000000000000000	27	0 0 0 0 0 0 1 0
6412	6413	00000000000000000001 00000000000001000000 00000000100000000000 00000100000000000000 00000100000000000000 00000100000000000000	34	0 0 0 0 0 0 1 0
6413	6414	01000000000000000000 01000000000000000000 00010000000000000000 00000000010000000000 00000000000000000010 00000000000001000000 00000000000000001000 00000000000000000100 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000100000000000 00010000000000000000 00000000000000000100 00000000001000000000 01000000000000000000 00000000100000000000 00001000000000000000 00000001000000000000 00001000000000000000	24	0 0 0 0 0 0 0 1
6414	6415	00000000000000000100 01000000000000000000 00000000001000000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 00100000000000000000	34	0 0 0 0 0 0 1 0
6415	6416	00000000000001000000 00000000000000000010 00010000000000000000 00000000000001000000 00000000001000000000 01000000000000000000 00000000000001000000 00000000000001000000 00000000000000010000 00000000000000000001 00000000000001000000 00010000000000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000	52	0 0 0 0 1 0 0 0
6416	6417	00000000000000000010 00000000000001000000 00000000000001000000 01000000000000000000 00000000000100000000 00000000000000000100 01000000000000000000 00000000000000010000 00000000000001000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000001000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000000010 00000000000000000010 00000000000000000001 00000000000000000001 00000000000001000000 00000000100000000000 01000000000000000000 00000000000000001000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000100000000	23	0 0 0 0 0 0 0 1
6417	6418	00010000000000000000 00000000001000000000 01000000000000000000 00000000000001000000 00000000000000000001 00000000000000001000 00000000010000000000 00000000001000000000 01000000000000000000 00000000000000100000 00000000000000000100 00000000000000000001 00000000000001000000 00000000000001000000	40	0 0 0 0 0 1 0 0
6418	6419	00010000000000000000 00000000000000010000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000001000000 00000000000100000000 00000000000000000010 00000000000001000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000100000000000	20	0 0 0 0 0 0 0 1
6419	6420	00100000000000000000	30	0 0 0 0 0 0 1 0
6420	6421	00001000000000000000 00000000010000000000 00000000010000000000 00000000000000000100 01000000000000000000 00000000000000000001 00000000000100000000 01000000000000000000 00000000001000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000100000000000	54	0 0 0 0 1 0 0 0
6421	6422	00010000000000000000 00000000000000100000 00000000001000000000 01000000000000000000 00000000000000000001 01000000000000000000 00000000001000000000	23	0 0 0 0 0 0 0 1
6422	6423	00010000000000000000 00000000000000000100 00000000000000000001 00000000000000000010 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000000000010 00000000000001000000 00000000000001000000	27	0 0 0 0 0 0 1 0
6423	6424	00000000000000000001 00000000000001000000 00000000000000000010 00000000010000000000 00000000000010000000 00000000000001000000 00000000000000000100 01000000000000000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000010000000000 00000000010000000000 00000000010000000000 00000000000001000000 00000000000100000000 01000000000000000000 00000000000000010000 00000000010000000000 00000000000001000000 00000000000001000000 00000000100000000000 00000100000000000000 00100000000000000000	36	0 0 0 0 0 1 0 0
6424	6425	01000000000000000000 00000000010000000000 00000000010000000000 00000000000001000000 00000000100000000000 00000001000000000000 00100000000000000000	32	0 0 0 0 0 0 1 0
6425	6426	00010000000000000000 00000001000000000000 00010000000000000000 01000000000000000000 00000000001000000000	37	0 0 0 0 0 1 0 0
6426	6427	00010000000000000000 00000000010000000000 00000000100000000000 00000100000000000000 00000000000000000100 00000000000000000100 01000000000000000000 00000000000000010000 00000000010000000000 00000000001000000000 01000000000000000000 00000000000100000000 01000000000000000000 01000000000000000000 00000000001000000000	23	0 0 0 0 0 0 0 1
6427	6428	00010000000000000000 00000000010000000000	23	0 0 0 0 0 0 0 1
6428	6429	00000000010000000000 00000000000000010000 00000000000001000000 01000000000000000000 00000000000000000100 00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000000000000010 00000000000000000010 00010000000000000000 00000001000000000000 00100000000000000000	34	0 0 0 0 0 0 1 0
6429	6430	00000000000000000100 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000010 00000000010000000000 00000000000000000010 00000000000001000000 00000000100000000000 00000100000000000000 00000100000000000000 00000001000000000000 00100000000000000000	24	0 0 0 0 0 0 0 1
6430	6431	00000000000000000100 00000000000000000001 00000000000001000000 01000000000000000000 00000000001000000000 01000000000000000000 00000000000000000100 00000000100000000000 00000000001000000000 01000000000000000000 00000000000010000000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 00000000100000000000 01000000000000000000 00000000000000000100 00000000000000000010 00100000000000000000	20	0 0 0 0 0 0 0 1
6431	6432	00010000000000000000 00000000001000000000 00000100000000000000 01000000000000000000 00000000000000000001 00000000100000000000 00000100000000000000	23	0 0 0 0 0 0 0 1
6432	6433	01000000000000000000 00000000001000000000 01000000000000000000 00000000001000000000 00000000000100000000 01000000000000000000 00000000100000000000 00000100000000000000	21	0 0 0 0 0 0 0 1
6433	6434	00000000000000000001 00000000000010000000 00000000000001000000 00000000100000000000 00100000000000000000	34	0 0 0 0 0 0 1 0
6434	6435	00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000001000000	25	0 0 0 0 0 0 0 1
6435	6436	00000000000000010000 00000000000001000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000000010 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000	33	0 0 0 0 0 0 1 0
6436	6437	00010000000000000000 00000000001000000000 00000000000000000100 01000000000000000000 00000000000000010000 00000000000001000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000001000000 00000000100000000000 00000000010000000000 00000000100000000000 01000000000000000000 01000000000000000000 00000000100000000000 00000000100000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000001000000 01000000000000000000 00000000010000000000 00000000100000000000 00000000100000000000 00000000000000100000 01000000000000000000	50	0 0 0 0 1 0 0 0
6437	6438	00000000000001000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000001000000 00000000001000000000 01000000000000000000 01000000000000000000 10000000000000000000 00000000100000000000 00000000000000000001 00000000000000000010 00000000010000000000 00100000000000000000	28	0 0 0 0 0 0 1 0
6438	6439	00000000000000000100 00000000000000000100 00000000000000000001 00000000000000000010 00000000001000000000 00000000100000000000 00000000000000000100 00000000000000000100 00000000000001000000 01000000000000000000 01000000000000000000 00100000000000000000	45	0 0 0 0 0 1 0 0
6439	6440	00000000000000000001 00010000000000000000 00000001000000000000 00000100000000000000 00000001000000000000 00100000000000000000	48	0 0 0 0 1 0 0 0
6440	6441	00001000000000000000 00000001000000000000 00001000000000000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000010000000000 00100000000000000000	22	0 0 0 0 0 0 0 1
6441	6442	00000000001000000000 00000100000000000000 01000000000000000000 00000000000000000100 00000000000000000010 00000000001000000000 00000000100000000000 00100000000000000000	46	0 0 0 0 1 0 0 0
6442	6443	00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000001000000000 01000000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000001 00000000100000000000	25	0 0 0 0 0 0 0 1
6443	6444	00000000001000000000 00000000000000000100 01000000000000000000 00000000000000010000 00000000100000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000000100000000 00000000000001000000 00000000000000000010 00010000000000000000 00000000100000000000 00100000000000000000	46	0 0 0 0 1 0 0 0
6444	6445	00000000000000000010 00000000000000010000 00000000000001000000 00000000000000001000 00000000000000000100 00000000000000000010 00000000000000010000 00000000000000000001 00000000010000000000 00000000010000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	21	0 0 0 0 0 0 0 1
6445	6446	00010000000000000000 00000001000000000000 00010000000000000000 00000000010000000000 01000000000000000000 00000000000001000000 00000000100000000000	85	0 1 0 0 0 0 0 0
6446	6447	00000000000000000001 00000000000001000000 00000000100000000000 00000000000001000000 00000010000000000000 00000000001000000000 00000100000000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000001000000000 00100000000000000000	42	0 0 0 0 0 1 0 0
6447	6448	00010000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000	25	0 0 0 0 0 0 0 1
6448	6449	00001000000000000000 01000000000000000000 00000000000000000001 00000000000000001000 00000000000000000001 00000000000000000100 00000000000000000100 00000000000000000010 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000001000000 00000000000001000000 00000000000000001000 00000000000001000000 00000000100000000000	41	0 0 0 0 0 1 0 0
6449	6450	00000000100000000000 00000000100000000000 00000000100000000000 00010000000000000000 00000000100000000000 00000000000001000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000001000000 00000000000100000000 01000000000000000000 00000000010000000000 00000000000100000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000000000100000 01000000000000000000 00000000000000000100 01000000000000000000 01000000000000000000 00000000000001000000 00000000100000000000	26	0 0 0 0 0 0 1 0
6450	6451	00000000001000000000 00000000000000000100 01000000000000000000 00000000000100000000 01000000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00000000000001000000 01000000000000000000 00000000001000000000 00000000000000010000 00000000000001000000 00000000000001000000 00000000000000100000	28	0 0 0 0 0 0 1 0
6451	6452	00000000001000000000 01000000000000000000 00000100000000000000 00000000000001000000 01000000000000000000 00000000000000000010 00000000000001000000 00000000000001000000 00000000000001000000	25	0 0 0 0 0 0 0 1
6452	6453	00000000010000000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000100000000000 10000000000000000000 01000000000000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00100000000000000000	23	0 0 0 0 0 0 0 1
6453	6454	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000000100 01000000000000000000 00000000000001000000 01000000000000000000 00000000100000000000	53	0 0 0 0 1 0 0 0
6454	6455	00000000000010000000 00000000000001000000 00000000100000000000 01000000000000000000 00000000000000000001 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	36	0 0 0 0 0 1 0 0
6455	6456	01000000000000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000100000000000000 00000000010000000000 00000100000000000000 01000000000000000000 00000000000000010000 00000000010000000000 00000000100000000000 00000000010000000000 00000000010000000000 00000000000000000010 00000000000000000001 00000000010000000000 00000100000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	49	0 0 0 0 1 0 0 0
6456	6457	00100000000000000000	49	0 0 0 0 1 0 0 0
6457	6458	00000000000000000100 00000000000000000001 01000000000000000000 00000000000001000000 00000000100000000000 01000000000000000000 00000000000001000000 01000000000000000000 00000000000000000010 00000000000010000000 00000000000010000000 01000000000000000000 00000000000001000000 00000000100000000000 00000000000000010000 00000000000010000000 00000000000000001000 00000000000000010000 00000000000010000000 00000000000001000000 00000000000001000000 00000000100000000000 00000000000001000000 01000000000000000000 00000000000000000100 01000000000000000000 01000000000000000000 00000000000000000001 00000000000000000010 00000000010000000000	22	0 0 0 0 0 0 0 1
6458	6459	00010000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000001000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000001000000 00000000000000000100 00000000000001000000 01000000000000000000 00000000000000010000 00000000000001000000	24	0 0 0 0 0 0 0 1
6459	6460	00000000100000000000 00010000000000000000 00000000001000000000 00000000000000000100 01000000000000000000 00000000000000010000 00000000100000000000 00000000100000000000 00000000010000000000 00000000010000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000010000000000 00000000100000000000 00000000100000000000 00000000000001000000 00000000000001000000 00000100000000000000 00000000100000000000	36	0 0 0 0 0 1 0 0
6460	6461	00000000010000000000 00000000100000000000 00000100000000000000 00000000010000000000 00000000010000000000 00000100000000000000 01000000000000000000 00000000000000000100 00000000000000000001 00000000100000000000 00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000100000000000 00000000000000010000 00000000000001000000 00000000000000001000 00000000000000010000 00000000000001000000 00000100000000000000 00000001000000000000 00000000000000000100 00000000000000000001 00000000000001000000 00000000000000000100 00000000000001000000 00000100000000000000	31	0 0 0 0 0 0 1 0
6461	6462	00000000000000000010 00000000000001000000 00000000000010000000 00000000000000000010 00000000000010000000 00000000000000000010 00000000010000000000 00000000000000001000 00000000000000000001 00000000010000000000 00000000100000000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000100000000000 01000000000000000000 00000000000000000010 00000000001000000000 00000000100000000000 00000000001000000000 00000000100000000000 00100000000000000000	35	0 0 0 0 0 0 1 0
6462	6463	00000000000001000000 01000000000000000000 00000000000000000001 00000000000000000001 00000000010000000000 00000000010000000000 00000000000001000000 00000000100000000000 00100000000000000000	56	0 0 0 1 0 0 0 0
6463	6464	00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000000010000 00000000010000000000 00000000000001000000 00000000000010000000 00000100000000000000 00000001000000000000 00100000000000000000	51	0 0 0 0 1 0 0 0
6464	6465	00000000010000000000 00000000000001000000 00000000000001000000 00010000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	40	0 0 0 0 0 1 0 0
6465	6466	00000000000000010000 00000000000001000000 00000000000000000100 01000000000000000000 00000000000000000100 00000000100000000000 01000000000000000000 00000000000000010000 00000000000000000010 00000000000000000001 00000000000001000000 00000000100000000000 00100000000000000000	42	0 0 0 0 0 1 0 0
6466	6467	00010000000000000000 00000001000000000000 00010000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000001 00000000100000000000 00000000000001000000 01000000000000000000 01000000000000000000 00000000000000000010 00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000000000000001 00000000000010000000 00000000000001000000 00000000000000000010 00000000000000010000	46	0 0 0 0 1 0 0 0
6467	6468	00010000000000000000 00000000000000010000 00000000000001000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000000000001 00000000000001000000 00000000000001000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000010000000000 00000000000000001000 01000000000000000000 00000000100000000000 00000000000000010000 00000000000001000000 00000000100000000000	33	0 0 0 0 0 0 1 0
6468	6469	00001000000000000000 00000000000000000100 01000000000000000000 00000000000100000000 00000000100000000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 00001000000000000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000100000000000 01000000000000000000 00001000000000000000	23	0 0 0 0 0 0 0 1
6469	6470	00010000000000000000 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000000010 00000000001000000000 01000000000000000000 00000000100000000000 00000000000000000100 00000000000000000100 00000000100000000000 00000000000000000001 00000000000001000000 01000000000000000000 00000000000000000001 00000000000000001000 00000000000000000100 00000000000000000001 00000000000000000010 00000000010000000000 00000000000100000000 00000000000001000000 00000000000010000000 00000000100000000000 00001000000000000000	20	0 0 0 0 0 0 0 1
6470	6471	00000000010000000000 00000000010000000000 00000000010000000000 00000000100000000000 00000000010000000000 01000000000000000000 00000000100000000000 00001000000000000000	41	0 0 0 0 0 1 0 0
6471	6472	00000000000001000000 01000000000000000000 01000000000000000000 00000000000000000010 00000000010000000000 00000100000000000000 00000000010000000000 00000000000000000010 00000000010000000000 00000000100000000000 00100000000000000000	45	0 0 0 0 0 1 0 0
6472	6473	00000000000000000100 01000000000000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 01000000000000000000 00000000000001000000 00000000001000000000 00000100000000000000 01000000000000000000 00000000000000000001 00000000000000000100	34	0 0 0 0 0 0 1 0
6473	6474	00010000000000000000 00000000000001000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000001000000 01000000000000000000 00000000000000000100 00000000000001000000 00000000001000000000 01000000000000000000	38	0 0 0 0 0 1 0 0
6474	6475	00010000000000000000 00000000000001000000 00000000000000010000 00000000000001000000 00000000100000000000	30	0 0 0 0 0 0 1 0
6475	6476	00010000000000000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000001000000 00000000000000010000 00000000000001000000 00000000000000001000 00000000000000000100 00000000001000000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000001000 01000000000000000000 00000000001000000000 00000000000000000010 00000000000000010000 00000000010000000000 00000000100000000000 00000000010000000000 00000000100000000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000010000000000 00000000100000000000	34	0 0 0 0 0 0 1 0
6476	6477	00010000000000000000 00000000010000000000 00000000000000000100 00000000000000000100	24	0 0 0 0 0 0 0 1
6477	6478	01000000000000000000 00000000010000000000 00000000010000000000 00000000100000000000 00010000000000000000 00000100000000000000 00000001000000000000 01000000000000000000 00000000000000000001 00000000100000000000 00000000100000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	26	0 0 0 0 0 0 1 0
6478	6479	00000000010000000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000100000000000	23	0 0 0 0 0 0 0 1
6479	6480	00010000000000000000 00000000000010000000 00000000000001000000 00000000000000000100 00000000000000001000 00000000000000010000 00000000000001000000 01000000000000000000 00000000100000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000000010 00000000000010000000 00000000000001000000 00000000000000000010 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000100000000000	29	0 0 0 0 0 0 1 0
6480	6481	01000000000000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000000001000000 00100000000000000000	50	0 0 0 0 1 0 0 0
6481	6482	00000000010000000000 00000000000001000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00100000000000000000	19	0 0 0 0 0 0 0 1
6482	6483	00000000000000000100 01000000000000000000 00000000000000010000 00000000000010000000 00000000000001000000 01000000000000000000 00000000000000000010 00000000010000000000 00000000100000000000 01000000000000000000 00000000001000000000 00000000000100000000 00000000100000000000 00100000000000000000	47	0 0 0 0 1 0 0 0
6483	6484	00010000000000000000 01000000000000000000 00000000000000000100 01000000000000000000 00010000000000000000 00000000100000000000 00000000000001000000 00000000000000000010 00000000000010000000 00000000000000000010 00000000000010000000 00000000100000000000 01000000000000000000 01000000000000000000 00000000000000000010 00000000010000000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000100000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000000100000000000	27	0 0 0 0 0 0 1 0
6484	6485	01000000000000000000 00000000000100000000 00000000000000000010 00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000000000001000 00000000000001000000 00000000100000000000 00000000010000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000100000000000	15	0 0 0 0 0 0 0 1
6485	6486	00010000000000000000 00000001000000000000 00010000000000000000 00000000010000000000 00000000100000000000	21	0 0 0 0 0 0 0 1
6486	6487	00000000000000000100 01000000000000000000 00000000000000010000 00000000000010000000 00000000000001000000 00000000000001000000 00000000000000000010 00000000010000000000 00000000100000000000 01000000000000000000 00000000001000000000 00000000000100000000 00000000100000000000 00100000000000000000	25	0 0 0 0 0 0 0 1
6487	6488	00010000000000000000 00000000010000000000 00000000100000000000	25	0 0 0 0 0 0 0 1
6488	6489	00010000000000000000 00000000000000100000 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000001000000000 00000000000000000001 00000000000000000010 00000000001000000000 01000000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000100 00000100000000000000 00000100000000000000	24	0 0 0 0 0 0 0 1
6489	6490	00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000010000000000 00000000100000000000 00001000000000000000 00000001000000000000 00100000000000000000	26	0 0 0 0 0 0 1 0
6490	6491	00010000000000000000 01000000000000000000 00000000001000000000 00000000000001000000 00000000000001000000 00000000100000000000	33	0 0 0 0 0 0 1 0
6491	6492	00010000000000000000 00000000001000000000 00000000000000000100 00000000000000000100 01000000000000000000 00000000000010000000 00000010000000000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 01000000000000000000 00000000000000010000 00000000100000000000	44	0 0 0 0 0 1 0 0
6492	6493	00000000000000000001 00000000000000000001 00010000000000000000 00000001000000000000 00100000000000000000	26	0 0 0 0 0 0 1 0
6493	6494	00000000000000000100 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 01000000000000000000 00000000000000000100 00000000000000000001 00000000000001000000 00000100000000000000	27	0 0 0 0 0 0 1 0
6494	6495	00000000000000000001 00000000000001000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000001000000 01000000000000000000 00000000000000000001 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000	38	0 0 0 0 0 1 0 0
6495	6496	00000000000000010000 00000000000000000001 00000000010000000000 00000100000000000000 00000000000100000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000010000000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000010000000000 00000000010000000000 00100000000000000000	38	0 0 0 0 0 1 0 0
6496	6497	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000000100 00000000000000000100 00000000000000000001 00000000000100000000 01000000000000000000 00000000000000010000 00000000010000000000 00000000000000000010 00000000000010000000 00000000000001000000 00000000100000000000 00000000000000100000 00000000000000100000 00000000100000000000 00000000100000000000 00000100000000000000	16	0 0 0 0 0 0 0 1
6497	6498	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000100000000 01000000000000000000 00000000000001000000 00000000000000001000 00000000000000000100 00000000001000000000 01000000000000000000 00000000000001000000 00000000100000000000 00000000000001000000 00000000100000000000 00000000000001000000 01000000000000000000 00000000000001000000	36	0 0 0 0 0 1 0 0
6498	6499	00000000010000000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 00000000000001000000 00000000000001000000 01000000000000000000 00000000000000000001 00000000000001000000 01000000000000000000 00000000000100000000 00000000000100000000 00000000000010000000 00000000000001000000 00000000000001000000 00000000000000001000 00000000000000000001 00000000000000001000 00000000000000010000 01000000000000000000 01000000000000000000	51	0 0 0 0 1 0 0 0
6499	6500	00010000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000000001000000 00000000000001000000	27	0 0 0 0 0 0 1 0
6500	6501	00010000000000000000 00000000010000000000 00000100000000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000	36	0 0 0 0 0 1 0 0
6501	6502	00000000001000000000 01000000000000000000 00000000000000000001 00000000000000010000 00000000000000000001 00000000000001000000 00000000100000000000 00010000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	36	0 0 0 0 0 1 0 0
6502	6503	00000000100000000000 00000000000000100000 00000000001000000000 00000100000000000000 00000100000000000000 00000000000000010000 00000000000001000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000010000000000 00000000100000000000 00000000100000000000 00000000000000000010 00000000000000010000 00000000010000000000 00100000000000000000	25	0 0 0 0 0 0 0 1
6503	6504	00000000000000100000 01000000000000000000 00000000000000000010 00000000000001000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000001000000 00000000000000000001 00000000000000000001 01000000000000000000 00100000000000000000	32	0 0 0 0 0 0 1 0
6504	6505	00010000000000000000 01000000000000000000 00000000001000000000 00000000000100000000 00000100000000000000 00000001000000000000 00100000000000000000	52	0 0 0 0 1 0 0 0
6505	6506	00010000000000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000001000000000 00000000000000000100	40	0 0 0 0 0 1 0 0
6506	6507	00000000001000000000 00000100000000000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 00000000000000000001 00000000000000000001 00000000000001000000 00000000000000000100 00000000001000000000 00000100000000000000 01000000000000000000 00000000000000000100 00000000000000000001 00000000000000000100 00000000001000000000 00000100000000000000 01000000000000000000 00000000000000000001 00000000000000000010 00000000001000000000 01000000000000000000 00000000000000000100 00000000001000000000 01000000000000000000 00000000000000000010 00000000000001000000 00000000000000001000 00000000000000000100 00000000000100000000 01000000000000000000 00000000001000000000 00000000100000000000	23	0 0 0 0 0 0 0 1
6507	6508	01000000000000000000 00000000000000000100 01000000000000000000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000001000000 01000000000000000000 01000000000000000000 00000000001000000000 00000000100000000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 00000000001000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000001000 00000000000000000001 00000000100000000000 00100000000000000000	65	0 0 0 1 0 0 0 0
6508	6509	00000000010000000000 00000000000000000010 00000000000000010000 00001000000000000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 00000000010000000000 00000000000000000010 00001000000000000000 00000001000000000000 00100000000000000000	35	0 0 0 0 0 0 1 0
6509	6510	00000000010000000000 00000000000001000000 00000000000001000000 00010000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	16	0 0 0 0 0 0 0 1
6510	6511	00010000000000000000 00000001000000000000 00010000000000000000 01000000000000000000 00000000000100000000	46	0 0 0 0 1 0 0 0
6511	6512	00000000000001000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000010000000000 00000000000001000000 00000000000001000000 00000000000001000000 00000000100000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00100000000000000000	30	0 0 0 0 0 0 1 0
6512	6513	00000000010000000000 00000000100000000000 00000000010000000000 00000000010000000000 01000000000000000000 01000000000000000000 00000000000100000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000001000000 00100000000000000000	33	0 0 0 0 0 0 1 0
6513	6514	00000000000001000000 01000000000000000000 01000000000000000000 00000000000001000000 10000000000000000000	27	0 0 0 0 0 0 1 0
